"Department Name (English)","Department Name (Arabic)","Role Code","Username","Password"
"Human Resources","الموارد البشرية","HR","hr@company.com","Password@123"
"Finance & Accounting","المالية والمحاسبة","FIN","fin@company.com","Password@123"
"Information Technology","تقنية المعلومات","IT","it@company.com","Password@123"
"Operations & Logistics","العمليات واللوجستيات","OPS","ops@company.com","Password@123"
"Compliance & Legal","الامتثال ","COMP","comp@company.com","Password@123"
"Project Management Office","مكتب إدارة المشاريع","PMO","pmo@company.com","Password@123"
"Fleet Management","إدارة الأسطول","FLEET","fleet@company.com","Password@123"
"Operational Audit","التدقيق التشغيلي","AUDIT","audit@company.com","Password@123"
"Health, Safety & Environment","الصحة والسلامة والبيئة","HSE","hse@company.com","Password@123"
"Procurement","المشتريات","PROC","proc@company.com","Password@123"
"Strategy","الاستراتيجية","STRAT","strat@company.com","Password@123"
"Commercial","القطاع التجاري","COMM","comm@company.com","Password@123"
"Tourism","السياحة","TOUR","tour@company.com","Password@123"
"Client Relations","علاقات العملاء","CR","cr@company.com","Password@123"
"Task Management","إدارة المهام","TASK","task@company.com","Password@123"
"Executive / Admin","-","CEO","ceo@company.com","Password@123"
"Executive / Admin","-","Administrator","administrator@company.com","Password@123"
